ccf-rank,abbreviation,ccf-name,publisher,url
CCF-C,,Connection Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/connection/
CCF-C,DSS,Decision Support Systems,Elsevier,http://dblp.uni-trier.de/db/journals/dss/
CCF-C,EAAI,Engineering Applications of Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/eaai/
CCF-C,,Expert Systems,Blackwell/Wiley,http://dblp.uni-trier.de/db/journals/es/
CCF-C,ESWA,Expert Systems with Applications,Elsevier,http://dblp.uni-trier.de/db/journals/eswa/
CCF-C,,Fuzzy Sets and Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fss/
CCF-C,TG,IEEE Transactions on Games,IEEE,http://dblp.uni-trier.de/db/journals/tciaig/
CCF-C,IET-CVI,IET Computer Vision,IET,https://dblp.uni-trier.de/db/journals/iet-cvi/index.html
CCF-C,,IET Signal Processing,IET,https://dblp.uni-trier.de/db/journals/iet-spr/index.html
CCF-C,IVC,Image and Vision Computing,Elsevier,http://dblp.uni-trier.de/db/journals/ivc/
CCF-C,IDA,Intelligent Data Analysis,IOS Press,http://dblp.uni-trier.de/db/journals/ida/
CCF-C,IJCIA,International Journal of Computational Intelligence and Applications,World Scientific,http://dblp.uni-trier.de/db/journals/ijcia/
CCF-C,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
CCF-C,IJNS,International Journal of Neural Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijns/
CCF-C,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,http://dblp.uni-trier.de/db/journals/ijprai/
CCF-C,IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based System",World Scientific,https://dblp.uni-trier.de/db/journals/ijufks/
CCF-C,IJDAR,International Journal on Document Analysis and Recognition,Springer,http://dblp.uni-trier.de/db/journals/ijdar/
CCF-C,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,Taylor & Francis,http://dblp.uni-trier.de/db/journals/jetai/
CCF-C,KBS,Knowledge-Based Systems,Elsevier,http://dblp.uni-trier.de/db/journals/kbs/
CCF-C,,Machine Translation,Springer,http://dblp.uni-trier.de/db/journals/mt/
CCF-C,,Machine Vision and Applications,Springer,http://dblp.uni-trier.de/db/journals/mva/
CCF-C,,Natural Computing,Springer,http://dblp.uni-trier.de/db/journals/nc/
CCF-C,NLE,Natural Language Engineering,Cambridge University Press,http://dblp.uni-trier.de/db/journals/nle/
CCF-C,NCA,Neural Computing & Applications,Springer,http://dblp.uni-trier.de/db/journals/nca/
CCF-C,NPL,Neural Processing Letters,Springer,http://dblp.uni-trier.de/db/journals/npl/
CCF-C,,Neurocomputing,Elsevier,http://dblp.uni-trier.de/db/journals/ijon/
CCF-C,PAA,Pattern Analysis and Applications,Springer,http://dblp.uni-trier.de/db/journals/paa/
CCF-C,PRL,Pattern Recognition Letters,Elsevier,http://dblp.uni-trier.de/db/journals/prl/
CCF-C,,Soft Computing,Springer,http://dblp.uni-trier.de/db/journals/soco/
CCF-C,WI,Web Intelligence,IOS Press,http://dblp.uni-trier.de/db/journals/wias/
CCF-C,TIIS,ACM Transactions on Interactive Intelligent Systems,ACM,https://dblp.uni-trier.de/db/journals/tiis/index.html
CCF-A,AAAI,AAAI Conference on Artificial Intelligence,AAAI,http://dblp.uni-trier.de/db/conf/aaai/
CCF-A,NeurIPS,Annual Conference on Neural Information Processing Systems,MIT Press,http://dblp.uni-trier.de/db/conf/nips/
CCF-A,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,http://dblp.uni-trier.de/db/conf/acl/
CCF-A,CVPR,IEEE Conference on Computer Vision and Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/cvpr/
CCF-A,ICCV,International Conference on Computer Vision,IEEE,http://dblp.uni-trier.de/db/conf/iccv/
CCF-A,ICML,International Conference on Machine Learning,ACM,http://dblp.uni-trier.de/db/conf/icml/
CCF-A,IJCAI,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/ijcai/
CCF-B,COLT,Annual Conference on Computational Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/colt/
CCF-B,EMNLP,Conference on Empirical Methods in Natural Language Processing,ACL,http://dblp.uni-trier.de/db/conf/emnlp/
CCF-B,ECAI,European Conference on Artificial Intelligence,IOS Press,http://dblp.uni-trier.de/db/conf/ecai/
CCF-B,ECCV,European Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/eccv/
CCF-B,ICRA,IEEE International Conference on Robotics and Automation,IEEE,http://dblp.uni-trier.de/db/conf/icra/
CCF-B,ICAPS,International Conference on Automated Planning and Scheduling,AAAI,http://dblp.uni-trier.de/db/conf/aips/
CCF-B,ICCBR,International Conference on Case-Based Reasoning and Development,Springer,http://dblp.uni-trier.de/db/conf/iccbr/
CCF-B,COLING,International Conference on Computational Linguistics,ACM,http://dblp.uni-trier.de/db/conf/coling/
CCF-B,KR,International Conference on Principles of Knowledge Representation and Reasoning,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/kr/
CCF-B,UAI,International Conference on Uncertainty in Artificial Intelligence,AUAI,http://dblp.uni-trier.de/db/conf/uai/
CCF-B,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,Springer,http://dblp.uni-trier.de/db/conf/atal/index.html
CCF-B,PPSN,Parallel Problem Solving from Nature,Springer,http://dblp.uni-trier.de/db/conf/ppsn/
CCF-B,NAACL,North American Chapter of the Association for Computational Linguistics,Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/naacl/
CCF-C,AISTATS,Artificial Intelligence and Statistics,JMLR,http://dblp.uni-trier.de/db/conf/aistats/
CCF-C,ACCV,Asian Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/accv/
CCF-C,ACML,Asian Conference on Machine Learning,JMLR,http://dblp.uni-trier.de/db/conf/acml/
CCF-C,BMVC,British Machine Vision Conference,British Machine Vision Association,http://dblp.uni-trier.de/db/conf/bmvc/
CCF-C,NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,Springer,https://dblp.uni-trier.de/db/conf/nlpcc/
CCF-C,CoNLL,Conference on Computational Natural Language Learning,Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/conll
CCF-C,GECCO,Genetic and Evolutionary Computation Conference,ACM,http://dblp.uni-trier.de/db/conf/gecco/
CCF-C,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,IEEE,http://dblp.uni-trier.de/db/conf/ictai/
CCF-C,IROS,IEEE\RSJ International Conference on Intelligent Robots and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iros/
CCF-C,ALT,International Conference on Algorithmic Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/alt/
CCF-C,ICANN,International Conference on Artificial Neural Networks,Springer,http://dblp.uni-trier.de/db/conf/icann/
CCF-C,FG,International Conference on Automatic Face and Gesture Recognition,IEEE,http://dblp.uni-trier.de/db/conf/fgr/
CCF-C,ICDAR,International Conference on Document Analysis and Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icdar/
CCF-C,ILP,International Conference on Inductive Logic Programming,Springer,http://dblp.uni-trier.de/db/conf/ilp/
CCF-C,KSEM,"International conference on Knowledge Science, Engineering and Management",Springer,http://dblp.uni-trier.de/db/conf/ksem/
CCF-C,ICONIP,International Conference on Neural Information Processing,Springer,http://dblp.uni-trier.de/db/conf/iconip/
CCF-C,ICPR,International Conference on Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icpr/
CCF-C,ICB,International Joint Conference on Biometrics,IEEE,http://dblp.uni-trier.de/db/conf/icb/
CCF-C,IJCNN,International Joint Conference on Neural Networks,IEEE,http://dblp.uni-trier.de/db/conf/ijcnn/
CCF-C,PRICAI,Pacific Rim International Conference on Artificial Intelligence,Springer,http://dblp.uni-trier.de/db/conf/pricai/
CCF-A,TOCHI,ACM Transactions on Computer-Human Interaction,ACM,http://dblp.uni-trier.de/db/journals/tochi/
CCF-A,IJHCS,International Journal of Human Computer Studies,Elsevier,http://dblp.uni-trier.de/db/journals/ijmms/
CCF-B,CSCW,Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/journals/cscw/
CCF-B,HCI,Human Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/hhci/
CCF-B,,IEEE Transactions on Human-Machine Systems,IEEE,http://dblp.uni-trier.de/db/journals/thms/
CCF-B,IWC,Interacting with Computers,Oxford University Press,http://dblp.uni-trier.de/db/journals/iwc/
CCF-B,IJHCI,International Journal of Human-Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/ijhci/
CCF-B,UMUAI,User Modeling and User-Adapted Interaction,Springer,http://dblp.uni-trier.de/db/journals/umuai/
CCF-B,TSMC,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,https://dblp.uni-trier.de/db/journals/tsmc/
CCF-C,BIT,Behaviour & Information Technology,Taylor & Francis,http://dblp.uni-trier.de/db/journals/behaviourIT/
CCF-C,PUC,Personal and Ubiquitous Computing,Springer,http://dblp.uni-trier.de/db/journals/puc/
CCF-C,PMC,Pervasive and Mobile Computing,Elsevier,http://dblp.uni-trier.de/db/journals/percom/
CCF-C,PACMHCI,Proceedings of the ACM on Human- Computer Interaction,ACM,https://dblp.uni-trier.de/db/journals/pacmhci/index.html
CCF-A,CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,ACM,http://dblp.uni-trier.de/db/conf/cscw
CCF-A,CHI,ACM Conference on Human Factors in Computing Systems,ACM,http://dblp.uni-trier.de/db/conf/chi
CCF-A,UbiComp,ACM International Conference on Ubiquitous Computing,ACM,http://dblp.uni-trier.de/db/conf/huc/
CCF-A,UIST,ACM Symposium on User Interface Software and Technology,ACM,http://dblp.uni-trier.de/db/conf/uist/
CCF-B,GROUP,ACM Conference on Supporting Group Work,ACM,http://dblp.uni-trier.de/db/conf/group/
CCF-B,IUI,ACM International Conference on Intelligent User Interfaces,ACM,http://dblp.uni-trier.de/db/conf/iui/
CCF-B,ITS,ACM International Conference on Interactive Tabletops and Surfaces,ACM,http://dblp.uni-trier.de/db/conf/tabletop/
CCF-B,ECSCW,European Conference on Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/conf/ecscw/
CCF-B,PERCOM,IEEE International Conference on Pervasive Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/percom/
CCF-B,MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,ACM,http://dblp.uni-trier.de/db/conf/mhci/
CCF-B,ICWSM,The International AAAI Conference on Web and Social Media,AAAI,https://dblp.uni-trier.de/db/conf/icwsm/index.html
CCF-C,DIS,ACM Conference on Designing Interactive Systems,ACM,http://dblp.uni-trier.de/db/conf/ACMdis
CCF-C,ICMI,ACM International Conference on Multimodal Interaction,ACM,http://dblp.uni-trier.de/db/conf/icmi/
CCF-C,ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,ACM,http://dblp.uni-trier.de/db/conf/assets
CCF-C,GI,Graphics Interface conference,ACM,http://dblp.uni-trier.de/db/conf/graphicsinterface/
CCF-C,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,http://dblp.uni-trier.de/db/conf/uic/
CCF-C,,IEEE World Haptics Conference,IEEE,http://dblp.uni-trier.de/db/conf/haptics/
CCF-C,INTERACT,IFIP TC13 Conference on Human-Computer Interaction,IFIP,http://dblp.uni-trier.de/db/conf/interact/
CCF-C,IDC,Interaction Design and Children,ACM,http://dblp.uni-trier.de/db/conf/acmidc/
CCF-C,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",Springer,https://dblp.uni-trier.de/db/conf/colcom/
CCF-C,CSCWD,International Conference on Computer Supported Cooperative Work in Design,Springer,http://dblp.uni-trier.de/db/conf/cscwd/
CCF-C,CoopIS,International Conference on Cooperative Information Systems,Springer,http://dblp.uni-trier.de/db/conf/coopis/
CCF-C,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",Springer,http://dblp.uni-trier.de/db/conf/mobiquitous/
CCF-C,AVI,International Working Conference on Advanced Visual Interfaces,ACM,http://dblp.uni-trier.de/db/conf/avi/
CCF-A,JACM,Journal of the ACM,ACM,http://dblp.uni-trier.de/db/journals/jacm/
CCF-A,Proc. IEEE,Proceedings of the IEEE,IEEE,http://dblp.uni-trier.de/db/journals/pieee/
CCF-A,SCIS,Science China Information Sciences,Science in China Press/Springer,http://dblp.uni-trier.de/db/journals/chinaf/
CCF-B,,Bioinformatics,Oxford University Press,http://dblp.uni-trier.de/db/journals/bioinformatics/
CCF-B,,Briefings in Bioinformatics,Oxford University Press,http://dblp.uni-trier.de/db/journals/bib/
CCF-B,Cognition,Cognition: International Journal of Cognitive Science,Elsevier,http://www.journals.elsevier.com/cognition/
CCF-B,TASAE,IEEE Transactions on Automation Science and Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tase/
CCF-B,TGARS,IEEE Transactions on Geoscience and Remote Sensing,IEEE,http://dblp.uni-trier.de/db/journals/tgrs/
CCF-B,TITS,IEEE Transactions on Intelligent Transportation Systems,IEEE,http://dblp.uni-trier.de/db/journals/tits/
CCF-B,TMI,IEEE Transactions on Medical Imaging,IEEE,http://dblp.uni-trier.de/db/journals/tmi/
CCF-B,TR,IEEE Transactions on Robotics,IEEE,http://dblp.uni-trier.de/db/journals/trob/
CCF-B,TCBB,IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE/ACM,http://dblp.uni-trier.de/db/journals/tcbb/
CCF-B,JCST,Journal of Computer Science and Technology,SCIENCE PRESS/Springer,http://dblp.uni-trier.de/db/journals/jcst/
CCF-B,JAMIA,Journal of the American Medical Informatics Association,BMJ Journals,http://dblp.uni-trier.de/db/journals/jamia/
CCF-B,,PLOS Computational Biology,Public Library of Science,http://dblp.uni-trier.de/db/journals/ploscb/
CCF-B,,The Computer Journal,Oxford University Press,http://dblp.uni-trier.de/db/journals/cj/
CCF-B,WWW,World Wide Web,Springer,https://dblp.uni-trier.de/db/journals/www/index.html
CCF-B,FCS,Frontiers of Computer Science,Higher Education Press,http://dblp.uni-trier.de/db/journals/fcsc/
CCF-C,,BMC Bioinformatics,BioMed Central,http://dblp.uni-trier.de/db/journals/bmcbi/
CCF-C,,Cybernetics and Systems,Taylor & Francis,http://dblp.uni-trier.de/db/journals/cas/
CCF-C,,IEEE Geoscience and Remote Sensing Letters,IEEE,http://dblp.uni-trier.de/db/journals/lgrs/
CCF-C,JBHI,IEEE Journal of Biomedical and Health Informatics,IEEE,http://dblp.uni-trier.de/db/journals/titb/
CCF-C,TBD,IEEE Transactions on Big Data,IEEE,https://dblp.uni-trier.de/db/journals/tbd/
CCF-C,,IET Intelligent Transport Systems,IET,http://digital-library.theiet.org/content/journals/iet-its
CCF-C,JBI,Journal of Biomedical Informatics,Elsevier,https://dblp.uni-trier.de/db/journals/jbi/
CCF-C,,Medical Image Analysis,Elsevier,http://dblp.uni-trier.de/db/journals/mia/
CCF-C,TII,IEEE Transactions on Industrial Informatics,IEEE,https://dblp.uni-trier.de/db/journals/tii/index.html
CCF-C,TCPS,ACM Transactions on Cyber- Physical Systems,ACM,https://dblp.uni-trier.de/db/journals/tcps/index.html
CCF-C,TOCE,ACM Transactions on Computing Education,ACM,https://dblp.uni-trier.de/db/journals/jeric/index.html
CCF-C,FITEE,Frontiers of Information Technology & Electronic Engineering,Springer,https://dblp.uni-trier.de/db/journals/jzusc/index.html
CCF-C,TCSS,IEEE Transactions on Computational Social Systems,IEEE,https://dblp.uni-trier.de/db/journals/tcss/index.html
CCF-C,,IEEE Transactions on Reliability,IEEE,https://dblp.uni-trier.de/db/journals/tr/index.html
CCF-A,WWW,International World Wide Web Conferences,ACM,http://dblp.uni-trier.de/db/conf/www/
CCF-A,RTSS,Real-Time Systems Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtss/
CCF-A,WINE,Conference on Web and Internet Economics,Springer,https://dblp.uni-trier.de/db/conf/wine/index.html
CCF-B,CogSci,Cognitive Science Society Annual Conference,Psychology Press,https://dblp.uni-trier.de/db/conf/cogsci/
CCF-B,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,IEEE,http://dblp.uni-trier.de/db/conf/bibm/
CCF-B,EMSOFT,International Conference on Embedded Software,ACM/IEEE/IFIP,http://dblp.uni-trier.de/db/conf/emsoft/
CCF-B,ISMB,International conference on Intelligent Systems for Molecular Biology,Oxford Journals,https://dblp.uni-trier.de/db/conf/ismb/index.html
CCF-B,RECOMB,International Conference on Research in Computational Molecular Biology,Springer,http://dblp.uni-trier.de/db/conf/recomb/
CCF-B,MICCAI,International Conference on Medical Image Computing and Computer-Assisted Intervention,Springer,https://dblp.uni-trier.de/db/conf/miccai/index.html
CCF-C,AMIA,American Medical Informatics Association Annual Symposium,AMIA,http://dblp.uni-trier.de/db/conf/amia/
CCF-C,APBC,Asia Pacific Bioinformatics Conference,BioMed Central,http://dblp.uni-trier.de/db/conf/apbc/
CCF-C,,IEEE International Conference on Big Data,IEEE,https://dblp.uni-trier.de/db/conf/bigdataconf/
CCF-C,,IEEE International Conference on Cloud Computing,IEEE,http://dblp.uni-trier.de/db/conf/IEEEcloud/
CCF-C,SMC,"IEEE International Conference on Systems, Man, and Cybernetics",IEEE,https://dblp.uni-trier.de/db/conf/smc/
CCF-C,COSIT,International Conference on Spatial Information Theory,ACM,http://dblp.uni-trier.de/db/conf/cosit/
CCF-C,ISBRA,International Symposium on Bioinformatics Research and Applications,Springer,https://dblp.uni-trier.de/db/conf/isbra/
CCF-C,SAGT,International Symposium on Algorithmic Game Theory,Springer,https://dblp.uni-trier.de/db/conf/sagt/index.html
CCF-C,SIGSPATIAL,ACM Special Interest Group on Spatial Information,ACM,https://dblp.uni-trier.de/db/journals/sigspatial/index.html
CCF-C,ICIC,International Conference on Intelligent Computing,Springer-Nature,https://dblp.uni-trier.de/db/conf/icic/index.html
